"ID_MIESTNOSTI","ID_ODDELENIA","ID_TYPU_MIESTNOSTI","NAZOV_MIESTNOSTI"
1035,226,1,"16_L_03"
1036,226,1,"16_L_04"
1037,226,2,"16_OP_01"
1038,227,1,"17_L_01"
1039,227,1,"17_L_02"
1040,227,1,"17_L_03"
1041,227,2,"17_OP_01"
1042,228,1,"18_L_01"
1043,228,1,"18_L_02"
1044,228,1,"18_L_03"
1045,228,2,"18_OP_01"
1046,229,1,"19_L_01"
1047,229,1,"19_L_02"
1048,229,1,"19_L_03"
1049,229,2,"19_OP_01"
1050,229,2,"19_OP_02"
1051,230,1,"20_L_01"
1052,230,1,"20_L_02"
1053,230,1,"20_L_03"
1054,230,2,"20_OP_01"
1055,231,1,"21_L_01"
1056,231,1,"21_L_02"
1057,231,1,"21_L_03"
1058,231,1,"21_L_04"
1059,231,2,"21_OP_01"
1060,231,2,"21_OP_02"
1061,232,1,"22_L_01"
1062,232,1,"22_L_02"
1063,232,1,"22_L_03"
1064,232,2,"22_OP_01"
1065,232,2,"22_OP_02"
1066,233,1,"23_L_01"
1067,233,1,"23_L_02"
1068,233,1,"23_L_03"
1069,233,1,"23_L_04"
1070,233,2,"23_OP_01"
1071,233,2,"23_OP_02"
1072,234,1,"24_L_01"
1073,234,1,"24_L_02"
1074,234,2,"24_OP_01"
1075,234,2,"24_OP_02"
1076,235,1,"25_L_01"
1077,235,1,"25_L_02"
1078,235,1,"25_L_03"
1079,235,2,"25_OP_01"
1080,235,2,"25_OP_02"
1081,236,1,"26_L_01"
1082,236,1,"26_L_02"
1083,236,1,"26_L_03"
1084,236,2,"26_OP_01"
1085,236,2,"26_OP_02"
1086,237,1,"27_L_01"
1087,237,1,"27_L_02"
1088,237,1,"27_L_03"
1089,237,1,"27_L_04"
1090,237,2,"27_OP_01"
1091,238,1,"28_L_01"
1092,238,1,"28_L_02"
1093,238,2,"28_OP_01"
1094,239,1,"29_L_01"
1095,239,1,"29_L_02"
1096,239,1,"29_L_03"
1097,239,2,"29_OP_01"
1098,239,2,"29_OP_02"
1099,240,1,"30_L_01"
1100,240,1,"30_L_02"
1101,240,2,"30_OP_01"
1102,241,1,"31_L_01"
1103,241,1,"31_L_02"
1104,241,1,"31_L_03"
1105,241,1,"31_L_04"
1106,241,2,"31_OP_01"
1107,242,1,"32_L_01"
1108,242,1,"32_L_02"
1109,242,2,"32_OP_01"
1110,243,1,"33_L_01"
1111,243,1,"33_L_02"
1112,243,2,"33_OP_01"
1113,243,2,"33_OP_02"
1114,244,1,"34_L_01"
1115,244,1,"34_L_02"
1116,244,1,"34_L_03"
1117,244,1,"34_L_04"
1118,244,2,"34_OP_01"
1119,245,1,"35_L_01"
1120,245,1,"35_L_02"
1121,245,2,"35_OP_01"
1122,245,2,"35_OP_02"
1123,246,1,"36_L_01"
1124,246,1,"36_L_02"
1125,246,1,"36_L_03"
1126,246,1,"36_L_04"
1127,246,2,"36_OP_01"
1128,246,2,"36_OP_02"
1129,247,1,"37_L_01"
1130,247,1,"37_L_02"
1131,247,1,"37_L_03"
1132,247,1,"37_L_04"
1133,247,2,"37_OP_01"
1134,247,2,"37_OP_02"
1135,248,1,"38_L_01"
1136,248,1,"38_L_02"
1137,248,1,"38_L_03"
1138,248,2,"38_OP_01"
1139,249,1,"39_L_01"
1140,249,1,"39_L_02"
1141,249,2,"39_OP_01"
1142,249,2,"39_OP_02"
1143,250,1,"40_L_01"
1144,250,1,"40_L_02"
1145,250,1,"40_L_03"
1146,250,1,"40_L_04"
1147,250,2,"40_OP_01"
1148,251,1,"41_L_01"
1149,251,1,"41_L_02"
1150,251,2,"41_OP_01"
1151,252,1,"0_L_01"
1152,252,1,"0_L_02"
1153,252,1,"0_L_03"
1154,252,2,"0_OP_01"
1155,253,1,"1_L_01"
1156,253,1,"1_L_02"
1157,253,1,"1_L_03"
1158,253,1,"1_L_04"
1159,253,2,"1_OP_01"
1160,254,1,"2_L_01"
1161,254,1,"2_L_02"
1162,254,2,"2_OP_01"
1163,255,1,"3_L_01"
1164,255,1,"3_L_02"
1165,255,1,"3_L_03"
1166,255,1,"3_L_04"
1167,255,2,"3_OP_01"
1168,255,2,"3_OP_02"
1169,256,1,"4_L_01"
1170,256,1,"4_L_02"
1171,256,2,"4_OP_01"
1172,256,2,"4_OP_02"
1173,257,1,"5_L_01"
1174,257,1,"5_L_02"
1175,257,1,"5_L_03"
1176,257,1,"5_L_04"
1177,257,2,"5_OP_01"
1178,258,1,"6_L_01"
1179,258,1,"6_L_02"
1180,258,1,"6_L_03"
1181,258,2,"6_OP_01"
1182,259,1,"7_L_01"
1183,259,1,"7_L_02"
1184,259,2,"7_OP_01"
1185,259,2,"7_OP_02"
1186,260,1,"8_L_01"
1187,260,1,"8_L_02"
1188,260,1,"8_L_03"
1189,260,1,"8_L_04"
1190,260,2,"8_OP_01"
1191,261,1,"9_L_01"
1192,261,1,"9_L_02"
1193,261,1,"9_L_03"
1194,261,2,"9_OP_01"
1195,262,1,"10_L_01"
1196,262,1,"10_L_02"
1197,262,2,"10_OP_01"
1198,262,2,"10_OP_02"
1199,263,1,"11_L_01"
1200,263,1,"11_L_02"
1201,263,2,"11_OP_01"
1202,263,2,"11_OP_02"
1203,264,1,"12_L_01"
1204,264,1,"12_L_02"
1205,264,2,"12_OP_01"
1206,264,2,"12_OP_02"
1207,265,1,"13_L_01"
1208,265,1,"13_L_02"
1209,265,2,"13_OP_01"
1210,266,1,"14_L_01"
1211,266,1,"14_L_02"
1212,266,1,"14_L_03"
1213,266,1,"14_L_04"
1214,266,2,"14_OP_01"
1215,267,1,"15_L_01"
1216,267,1,"15_L_02"
1217,267,1,"15_L_03"
1218,267,2,"15_OP_01"
1219,268,1,"16_L_01"
1220,268,1,"16_L_02"
1221,268,1,"16_L_03"
1222,268,2,"16_OP_01"
1223,268,2,"16_OP_02"
1224,269,1,"17_L_01"
1225,269,1,"17_L_02"
1226,269,1,"17_L_03"
1227,269,1,"17_L_04"
1228,269,2,"17_OP_01"
1229,269,2,"17_OP_02"
1230,270,1,"18_L_01"
1231,270,1,"18_L_02"
1232,270,2,"18_OP_01"
1233,271,1,"19_L_01"
1234,271,1,"19_L_02"
1235,271,1,"19_L_03"
1236,271,2,"19_OP_01"
1237,271,2,"19_OP_02"
1238,272,1,"20_L_01"
1239,272,1,"20_L_02"
1240,272,2,"20_OP_01"
1241,273,1,"21_L_01"
1242,273,1,"21_L_02"
1243,273,1,"21_L_03"
1244,273,1,"21_L_04"
1245,273,2,"21_OP_01"
1246,273,2,"21_OP_02"
1247,274,1,"22_L_01"
1248,274,1,"22_L_02"
1249,274,2,"22_OP_01"
1250,275,1,"23_L_01"
1251,275,1,"23_L_02"
1252,275,2,"23_OP_01"
1253,275,2,"23_OP_02"
1254,276,1,"24_L_01"
1255,276,1,"24_L_02"
1256,276,1,"24_L_03"
1257,276,2,"24_OP_01"
1258,277,1,"25_L_01"
1259,277,1,"25_L_02"
1260,277,2,"25_OP_01"
1261,278,1,"26_L_01"
1262,278,1,"26_L_02"
1263,278,1,"26_L_03"
1264,278,1,"26_L_04"
1265,278,2,"26_OP_01"
1266,279,1,"27_L_01"
1267,279,1,"27_L_02"
1268,279,1,"27_L_03"
1269,279,2,"27_OP_01"
1270,280,1,"28_L_01"
1271,280,1,"28_L_02"
1272,280,2,"28_OP_01"
1273,280,2,"28_OP_02"
1274,281,1,"29_L_01"
1275,281,1,"29_L_02"
1276,281,2,"29_OP_01"
1277,281,2,"29_OP_02"
1278,282,1,"30_L_01"
1279,282,1,"30_L_02"
1280,282,1,"30_L_03"
1281,282,2,"30_OP_01"
1282,282,2,"30_OP_02"
1283,283,1,"31_L_01"
1284,283,1,"31_L_02"
1285,283,1,"31_L_03"
1286,283,1,"31_L_04"
1287,283,2,"31_OP_01"
1288,283,2,"31_OP_02"
1289,284,1,"32_L_01"
1290,284,1,"32_L_02"
1291,284,1,"32_L_03"
1292,284,1,"32_L_04"
1293,284,2,"32_OP_01"
1294,284,2,"32_OP_02"
1295,285,1,"33_L_01"
1296,285,1,"33_L_02"
1297,285,1,"33_L_03"
1298,285,1,"33_L_04"
1299,285,2,"33_OP_01"
1300,286,1,"34_L_01"
1301,286,1,"34_L_02"
1302,286,2,"34_OP_01"
1303,287,1,"35_L_01"
1304,287,1,"35_L_02"
1305,287,2,"35_OP_01"
1306,287,2,"35_OP_02"
1307,288,1,"36_L_01"
1308,288,1,"36_L_02"
1309,288,1,"36_L_03"
1310,288,2,"36_OP_01"
1311,289,1,"37_L_01"
1312,289,1,"37_L_02"
1313,289,1,"37_L_03"
1314,289,2,"37_OP_01"
1315,290,1,"38_L_01"
1316,290,1,"38_L_02"
1317,290,1,"38_L_03"
1318,290,1,"38_L_04"
1319,290,2,"38_OP_01"
1320,291,1,"39_L_01"
1321,291,1,"39_L_02"
1322,291,1,"39_L_03"
1323,291,1,"39_L_04"
1324,291,2,"39_OP_01"
1325,292,1,"40_L_01"
1326,292,1,"40_L_02"
1327,292,1,"40_L_03"
1328,292,1,"40_L_04"
1329,292,2,"40_OP_01"
1330,293,1,"41_L_01"
1331,293,1,"41_L_02"
1332,293,2,"41_OP_01"
1333,293,2,"41_OP_02"
1334,294,1,"0_L_01"
1335,294,1,"0_L_02"
1336,294,1,"0_L_03"
1337,294,1,"0_L_04"
1338,294,2,"0_OP_01"
1339,294,2,"0_OP_02"
1340,295,1,"1_L_01"
1341,295,1,"1_L_02"
1342,295,1,"1_L_03"
1343,295,1,"1_L_04"
1344,295,2,"1_OP_01"
1345,296,1,"2_L_01"
1346,296,1,"2_L_02"
1347,296,1,"2_L_03"
1348,296,2,"2_OP_01"
1349,296,2,"2_OP_02"
1350,297,1,"3_L_01"
1351,297,1,"3_L_02"
1352,297,1,"3_L_03"
1353,297,1,"3_L_04"
1354,297,2,"3_OP_01"
1355,297,2,"3_OP_02"
1356,298,1,"4_L_01"
1357,298,1,"4_L_02"
1358,298,2,"4_OP_01"
1359,298,2,"4_OP_02"
1360,299,1,"5_L_01"
1361,299,1,"5_L_02"
1362,299,1,"5_L_03"
1363,299,1,"5_L_04"
1364,299,2,"5_OP_01"
1365,300,1,"6_L_01"
1366,300,1,"6_L_02"
1367,300,2,"6_OP_01"
1368,301,1,"7_L_01"
1369,301,1,"7_L_02"
1370,301,2,"7_OP_01"
1371,301,2,"7_OP_02"
1372,302,1,"8_L_01"
1373,302,1,"8_L_02"
1374,302,1,"8_L_03"
1375,302,2,"8_OP_01"
1376,302,2,"8_OP_02"
1377,303,1,"9_L_01"
1378,303,1,"9_L_02"
1379,303,1,"9_L_03"
1380,303,2,"9_OP_01"
1381,304,1,"10_L_01"
1382,304,1,"10_L_02"
1383,304,1,"10_L_03"
1384,304,1,"10_L_04"
1385,304,2,"10_OP_01"
1386,305,1,"11_L_01"
1387,305,1,"11_L_02"
1388,305,2,"11_OP_01"
1389,306,1,"12_L_01"
1390,306,1,"12_L_02"
1391,306,1,"12_L_03"
1392,306,2,"12_OP_01"
1393,306,2,"12_OP_02"
1394,307,1,"13_L_01"
1395,307,1,"13_L_02"
1396,307,1,"13_L_03"
1397,307,1,"13_L_04"
1398,307,2,"13_OP_01"
1399,307,2,"13_OP_02"
1400,308,1,"14_L_01"
1401,308,1,"14_L_02"
1402,308,1,"14_L_03"
1403,308,1,"14_L_04"
1404,308,2,"14_OP_01"
1405,309,1,"15_L_01"
1406,309,1,"15_L_02"
1407,309,1,"15_L_03"
1408,309,1,"15_L_04"
1409,309,2,"15_OP_01"
1410,310,1,"16_L_01"
1411,310,1,"16_L_02"
1412,310,2,"16_OP_01"
1413,310,2,"16_OP_02"
1414,311,1,"17_L_01"
1415,311,1,"17_L_02"
1416,311,1,"17_L_03"
1417,311,2,"17_OP_01"
1418,311,2,"17_OP_02"
1419,312,1,"18_L_01"
1420,312,1,"18_L_02"
1421,312,1,"18_L_03"
1422,312,2,"18_OP_01"
1423,313,1,"19_L_01"
1424,313,1,"19_L_02"
1425,313,1,"19_L_03"
1426,313,2,"19_OP_01"
1427,314,1,"20_L_01"
1428,314,1,"20_L_02"
1429,314,2,"20_OP_01"
1430,314,2,"20_OP_02"
1431,315,1,"21_L_01"
1432,315,1,"21_L_02"
1433,315,2,"21_OP_01"
1434,315,2,"21_OP_02"
1435,316,1,"22_L_01"
1436,316,1,"22_L_02"
1437,316,1,"22_L_03"
1438,316,2,"22_OP_01"
1439,317,1,"23_L_01"
1440,317,1,"23_L_02"
1441,317,1,"23_L_03"
1442,317,2,"23_OP_01"
1443,317,2,"23_OP_02"
1444,318,1,"24_L_01"
1445,318,1,"24_L_02"
1446,318,1,"24_L_03"
1447,318,2,"24_OP_01"
1448,318,2,"24_OP_02"
1449,319,1,"25_L_01"
1450,319,1,"25_L_02"
1451,319,1,"25_L_03"
1452,319,2,"25_OP_01"
1453,319,2,"25_OP_02"
1454,320,1,"26_L_01"
1455,320,1,"26_L_02"
1456,320,1,"26_L_03"
1457,320,2,"26_OP_01"
1458,321,1,"27_L_01"
1459,321,1,"27_L_02"
1460,321,1,"27_L_03"
1461,321,1,"27_L_04"
1462,321,2,"27_OP_01"
1463,322,1,"28_L_01"
1464,322,1,"28_L_02"
1465,322,2,"28_OP_01"
1466,322,2,"28_OP_02"
1467,323,1,"29_L_01"
1468,323,1,"29_L_02"
1469,323,2,"29_OP_01"
1470,324,1,"30_L_01"
1471,324,1,"30_L_02"
1472,324,1,"30_L_03"
1473,324,1,"30_L_04"
1474,324,2,"30_OP_01"
1475,325,1,"31_L_01"
1476,325,1,"31_L_02"
1477,325,1,"31_L_03"
1478,325,1,"31_L_04"
1479,325,2,"31_OP_01"
1480,326,1,"32_L_01"
1481,326,1,"32_L_02"
1482,326,1,"32_L_03"
1483,326,1,"32_L_04"
1484,326,2,"32_OP_01"
1485,327,1,"33_L_01"
1486,327,1,"33_L_02"
1487,327,2,"33_OP_01"
1488,328,1,"34_L_01"
1489,328,1,"34_L_02"
1490,328,1,"34_L_03"
1491,328,2,"34_OP_01"
1492,328,2,"34_OP_02"
1493,329,1,"35_L_01"
1494,329,1,"35_L_02"
1495,329,1,"35_L_03"
1496,329,1,"35_L_04"
1497,329,2,"35_OP_01"
1498,330,1,"36_L_01"
1499,330,1,"36_L_02"
1500,330,1,"36_L_03"
1501,330,2,"36_OP_01"
1502,330,2,"36_OP_02"
1503,331,1,"37_L_01"
1504,331,1,"37_L_02"
1505,331,1,"37_L_03"
1506,331,2,"37_OP_01"
1507,331,2,"37_OP_02"
1508,332,1,"38_L_01"
1509,332,1,"38_L_02"
1510,332,1,"38_L_03"
1511,332,1,"38_L_04"
1512,332,2,"38_OP_01"
1513,332,2,"38_OP_02"
1514,333,1,"39_L_01"
1515,333,1,"39_L_02"
1516,333,1,"39_L_03"
1517,333,2,"39_OP_01"
1518,334,1,"40_L_01"
1519,334,1,"40_L_02"
1520,334,1,"40_L_03"
1521,334,2,"40_OP_01"
1522,334,2,"40_OP_02"
1523,335,1,"41_L_01"
1524,335,1,"41_L_02"
1525,335,1,"41_L_03"
1526,335,1,"41_L_04"
1527,335,2,"41_OP_01"
1528,336,1,"0_L_01"
1529,336,1,"0_L_02"
1,1,1,"1_L_01"
2,1,1,"1_L_02"
3,1,1,"1_L_03"
4,1,2,"1_OP_01"
5,2,1,"2_L_01"
6,2,1,"2_L_02"
7,2,1,"2_L_03"
8,2,1,"2_L_04"
9,2,2,"2_OP_01"
10,2,2,"2_OP_02"
11,3,1,"3_L_01"
12,3,1,"3_L_02"
13,3,2,"3_OP_01"
14,4,1,"4_L_01"
15,4,1,"4_L_02"
16,4,2,"4_OP_01"
17,4,2,"4_OP_02"
18,5,1,"5_L_01"
19,5,1,"5_L_02"
20,5,2,"5_OP_01"
21,6,1,"6_L_01"
22,6,1,"6_L_02"
23,6,1,"6_L_03"
24,6,1,"6_L_04"
25,6,2,"6_OP_01"
26,7,1,"7_L_01"
27,7,1,"7_L_02"
28,7,1,"7_L_03"
29,7,1,"7_L_04"
30,7,2,"7_OP_01"
31,8,1,"8_L_01"
32,8,1,"8_L_02"
33,8,2,"8_OP_01"
34,8,2,"8_OP_02"
35,9,1,"9_L_01"
36,9,1,"9_L_02"
37,9,1,"9_L_03"
38,9,1,"9_L_04"
39,9,2,"9_OP_01"
40,9,2,"9_OP_02"
41,10,1,"10_L_01"
42,10,1,"10_L_02"
43,10,1,"10_L_03"
44,10,2,"10_OP_01"
45,10,2,"10_OP_02"
46,11,1,"11_L_01"
47,11,1,"11_L_02"
48,11,1,"11_L_03"
49,11,1,"11_L_04"
50,11,2,"11_OP_01"
51,12,1,"12_L_01"
52,12,1,"12_L_02"
53,12,1,"12_L_03"
54,12,2,"12_OP_01"
55,12,2,"12_OP_02"
56,13,1,"13_L_01"
57,13,1,"13_L_02"
58,13,2,"13_OP_01"
59,14,1,"14_L_01"
60,14,1,"14_L_02"
61,14,2,"14_OP_01"
62,14,2,"14_OP_02"
63,15,1,"15_L_01"
64,15,1,"15_L_02"
65,15,1,"15_L_03"
66,15,1,"15_L_04"
67,15,2,"15_OP_01"
68,16,1,"16_L_01"
69,16,1,"16_L_02"
70,16,1,"16_L_03"
71,16,2,"16_OP_01"
72,16,2,"16_OP_02"
73,17,1,"17_L_01"
74,17,1,"17_L_02"
75,17,1,"17_L_03"
76,17,1,"17_L_04"
77,17,2,"17_OP_01"
78,17,2,"17_OP_02"
79,18,1,"18_L_01"
80,18,1,"18_L_02"
81,18,1,"18_L_03"
82,18,1,"18_L_04"
83,18,2,"18_OP_01"
84,19,1,"19_L_01"
85,19,1,"19_L_02"
86,19,2,"19_OP_01"
87,19,2,"19_OP_02"
88,20,1,"20_L_01"
89,20,1,"20_L_02"
90,20,2,"20_OP_01"
91,20,2,"20_OP_02"
92,21,1,"21_L_01"
93,21,1,"21_L_02"
94,21,1,"21_L_03"
95,21,2,"21_OP_01"
96,21,2,"21_OP_02"
97,22,1,"22_L_01"
98,22,1,"22_L_02"
99,22,1,"22_L_03"
100,22,1,"22_L_04"
101,22,2,"22_OP_01"
102,22,2,"22_OP_02"
103,23,1,"23_L_01"
104,23,1,"23_L_02"
105,23,2,"23_OP_01"
106,24,1,"24_L_01"
107,24,1,"24_L_02"
108,24,1,"24_L_03"
109,24,1,"24_L_04"
110,24,2,"24_OP_01"
111,25,1,"25_L_01"
112,25,1,"25_L_02"
113,25,1,"25_L_03"
114,25,2,"25_OP_01"
115,25,2,"25_OP_02"
116,26,1,"26_L_01"
117,26,1,"26_L_02"
118,26,2,"26_OP_01"
119,26,2,"26_OP_02"
120,27,1,"27_L_01"
121,27,1,"27_L_02"
122,27,1,"27_L_03"
123,27,1,"27_L_04"
124,27,2,"27_OP_01"
125,27,2,"27_OP_02"
126,28,1,"28_L_01"
127,28,1,"28_L_02"
128,28,1,"28_L_03"
129,28,1,"28_L_04"
130,28,2,"28_OP_01"
131,29,1,"29_L_01"
132,29,1,"29_L_02"
133,29,2,"29_OP_01"
134,30,1,"30_L_01"
135,30,1,"30_L_02"
136,30,2,"30_OP_01"
137,30,2,"30_OP_02"
138,31,1,"31_L_01"
139,31,1,"31_L_02"
140,31,1,"31_L_03"
141,31,2,"31_OP_01"
142,32,1,"32_L_01"
143,32,1,"32_L_02"
144,32,2,"32_OP_01"
145,32,2,"32_OP_02"
146,33,1,"33_L_01"
147,33,1,"33_L_02"
148,33,1,"33_L_03"
149,33,1,"33_L_04"
150,33,2,"33_OP_01"
151,33,2,"33_OP_02"
152,34,1,"34_L_01"
153,34,1,"34_L_02"
154,34,1,"34_L_03"
155,34,1,"34_L_04"
156,34,2,"34_OP_01"
157,35,1,"35_L_01"
158,35,1,"35_L_02"
159,35,1,"35_L_03"
160,35,2,"35_OP_01"
161,35,2,"35_OP_02"
162,36,1,"36_L_01"
163,36,1,"36_L_02"
164,36,1,"36_L_03"
165,36,2,"36_OP_01"
166,36,2,"36_OP_02"
167,37,1,"37_L_01"
168,37,1,"37_L_02"
169,37,1,"37_L_03"
170,37,1,"37_L_04"
171,37,2,"37_OP_01"
172,37,2,"37_OP_02"
173,38,1,"38_L_01"
174,38,1,"38_L_02"
175,38,2,"38_OP_01"
176,39,1,"39_L_01"
177,39,1,"39_L_02"
178,39,1,"39_L_03"
179,39,1,"39_L_04"
180,39,2,"39_OP_01"
181,39,2,"39_OP_02"
182,40,1,"40_L_01"
183,40,1,"40_L_02"
184,40,2,"40_OP_01"
185,40,2,"40_OP_02"
186,41,1,"41_L_01"
187,41,1,"41_L_02"
188,41,1,"41_L_03"
189,41,2,"41_OP_01"
190,42,1,"0_L_01"
191,42,1,"0_L_02"
192,42,1,"0_L_03"
193,42,1,"0_L_04"
194,42,2,"0_OP_01"
195,42,2,"0_OP_02"
196,43,1,"1_L_01"
197,43,1,"1_L_02"
198,43,1,"1_L_03"
199,43,2,"1_OP_01"
200,44,1,"2_L_01"
201,44,1,"2_L_02"
202,44,1,"2_L_03"
203,44,2,"2_OP_01"
204,45,1,"3_L_01"
205,45,1,"3_L_02"
206,45,1,"3_L_03"
207,45,2,"3_OP_01"
208,46,1,"4_L_01"
209,46,1,"4_L_02"
210,46,2,"4_OP_01"
211,46,2,"4_OP_02"
212,47,1,"5_L_01"
213,47,1,"5_L_02"
214,47,1,"5_L_03"
215,47,1,"5_L_04"
216,47,2,"5_OP_01"
217,47,2,"5_OP_02"
218,48,1,"6_L_01"
219,48,1,"6_L_02"
220,48,2,"6_OP_01"
221,48,2,"6_OP_02"
222,49,1,"7_L_01"
223,49,1,"7_L_02"
224,49,1,"7_L_03"
225,49,1,"7_L_04"
226,49,2,"7_OP_01"
227,50,1,"8_L_01"
228,50,1,"8_L_02"
229,50,1,"8_L_03"
230,50,2,"8_OP_01"
231,51,1,"9_L_01"
232,51,1,"9_L_02"
233,51,2,"9_OP_01"
234,51,2,"9_OP_02"
235,52,1,"10_L_01"
236,52,1,"10_L_02"
237,52,1,"10_L_03"
238,52,2,"10_OP_01"
239,53,1,"11_L_01"
240,53,1,"11_L_02"
241,53,2,"11_OP_01"
242,54,1,"12_L_01"
243,54,1,"12_L_02"
244,54,2,"12_OP_01"
245,54,2,"12_OP_02"
246,55,1,"13_L_01"
247,55,1,"13_L_02"
248,55,2,"13_OP_01"
249,55,2,"13_OP_02"
250,56,1,"14_L_01"
251,56,1,"14_L_02"
252,56,2,"14_OP_01"
253,57,1,"15_L_01"
254,57,1,"15_L_02"
255,57,1,"15_L_03"
256,57,2,"15_OP_01"
257,57,2,"15_OP_02"
258,58,1,"16_L_01"
259,58,1,"16_L_02"
260,58,2,"16_OP_01"
261,59,1,"17_L_01"
262,59,1,"17_L_02"
263,59,1,"17_L_03"
264,59,2,"17_OP_01"
265,59,2,"17_OP_02"
266,60,1,"18_L_01"
267,60,1,"18_L_02"
268,60,1,"18_L_03"
269,60,2,"18_OP_01"
270,60,2,"18_OP_02"
271,61,1,"19_L_01"
272,61,1,"19_L_02"
273,61,1,"19_L_03"
274,61,1,"19_L_04"
275,61,2,"19_OP_01"
276,62,1,"20_L_01"
277,62,1,"20_L_02"
278,62,1,"20_L_03"
279,62,2,"20_OP_01"
280,62,2,"20_OP_02"
281,63,1,"21_L_01"
282,63,1,"21_L_02"
283,63,1,"21_L_03"
284,63,1,"21_L_04"
285,63,2,"21_OP_01"
286,63,2,"21_OP_02"
287,64,1,"22_L_01"
288,64,1,"22_L_02"
289,64,1,"22_L_03"
290,64,1,"22_L_04"
291,64,2,"22_OP_01"
292,64,2,"22_OP_02"
293,65,1,"23_L_01"
294,65,1,"23_L_02"
295,65,1,"23_L_03"
296,65,2,"23_OP_01"
297,65,2,"23_OP_02"
298,66,1,"24_L_01"
299,66,1,"24_L_02"
300,66,1,"24_L_03"
301,66,2,"24_OP_01"
302,67,1,"25_L_01"
303,67,1,"25_L_02"
304,67,1,"25_L_03"
305,67,1,"25_L_04"
306,67,2,"25_OP_01"
307,68,1,"26_L_01"
308,68,1,"26_L_02"
309,68,2,"26_OP_01"
310,68,2,"26_OP_02"
311,69,1,"27_L_01"
312,69,1,"27_L_02"
313,69,1,"27_L_03"
314,69,2,"27_OP_01"
315,70,1,"28_L_01"
316,70,1,"28_L_02"
317,70,1,"28_L_03"
318,70,2,"28_OP_01"
319,71,1,"29_L_01"
320,71,1,"29_L_02"
321,71,1,"29_L_03"
322,71,2,"29_OP_01"
323,71,2,"29_OP_02"
324,72,1,"30_L_01"
325,72,1,"30_L_02"
326,72,2,"30_OP_01"
327,72,2,"30_OP_02"
328,73,1,"31_L_01"
329,73,1,"31_L_02"
